sample_id,true_x_m,true_y_m,t_gw1_ns,t_gw2_ns,t_gw3_ns,recov_x_m,recov_y_m,pos_error_m,solver_converged,solver_iters,solver_resnorm_s,gw1_x_m,gw1_y_m,gw2_x_m,gw2_y_m,gw3_x_m,gw3_y_m
1,499.5650613395836,-281.115175623348,862179133,862179143,862181056,498.2761023766394,-284.0055889741958,3.164791390741781,True,6,0.0,0.0,0.0,1000.0,0.0,500.0,866.0254
2,785.0440495948848,-33.43854044312093,821522723,821520830,821523249,784.6657150527764,-33.03629247254551,0.5522141392471018,False,100,1.1102230246251565e-16,0.0,0.0,1000.0,0.0,500.0,866.0254
3,-93.95323083614953,-189.0466280580738,529232472,529235473,529235813,-4.132275698817125,-127.43722427574323,108.91979900916512,False,100,5.1615439120922966e-08,0.0,0.0,1000.0,0.0,500.0,866.0254
4,1139.858509372541,191.8667429735085,490229424,490226350,490228675,1142.7530063880522,188.7821781487874,4.229970819132205,True,7,0.0,0.0,0.0,1000.0,0.0,500.0,866.0254
5,9.712961483032132,276.20735771054717,894172516,894175026,894174157,9.4166721923044,275.55572333884334,0.7158314733132334,True,7,0.0,0.0,0.0,1000.0,0.0,500.0,866.0254
6,1016.5496324719206,-353.4108398883107,613332602,613330208,613333439,1011.0111409564391,-352.9857867785992,5.55477798054395,True,10,0.0,0.0,0.0,1000.0,0.0,500.0,866.0254
7,271.85170603153017,1360.4066633584655,61523913,61524432,61521094,,,,False,100,1.8140031630445925e-07,0.0,0.0,1000.0,0.0,500.0,866.0254
8,435.0989046153968,814.2544156534345,104377715,104377936,104374914,436.68325107053704,812.6400025464036,2.2619644935473073,True,6,0.0,0.0,0.0,1000.0,0.0,500.0,866.0254
9,-144.25611335070238,-496.4642969582206,914545788,914548228,914549097,-167.02152726417543,-519.9481599410346,32.70712294359345,True,9,0.0,0.0,0.0,1000.0,0.0,500.0,866.0254
10,1.5666770353239485,-30.959608046907192,16983942,16987175,16987265,-83.86996555450284,-82.7091767163434,99.88712506872194,True,8,0.0,0.0,0.0,1000.0,0.0,500.0,866.0254
11,151.98270524765587,118.47802850535504,731230927,731233160,731233050,148.79624950245977,118.00244388608574,3.2217512235085364,True,6,0.0,0.0,0.0,1000.0,0.0,500.0,866.0254
12,-30.391345717263164,551.6016963065733,362623047,362625099,362623255,-29.456154958043378,552.2886178962772,1.160363316608783,True,7,0.0,0.0,0.0,1000.0,0.0,500.0,866.0254
